Apple,1001,1.5,136
Banana,1002,0.75,175
Chicken,1003,3.99,101
Spaghetti,1004,1.25,128
Milk,1005,2.99,114
Eggs,1006,1.99,158
Rice,1007,2.5,99
Beef,1008,4.25,86
Broccoli,1009,1.75,87
OrangeJuice,1010,3.49,115
Cheese,1011,2.99,130
Bread,1012,2.25,150
Pizza,1013,4.5,110
Salmon,1014,2.75,145
IceCream,1015,1.99,155
Cereal,1016,5.25,125
Tomatoes,1017,1.99,170
PeanutButter,1018,3.75,115
Pancakes,1019,2.49,140
Chips,1020,1.25,147
Sausages,1021,4.99,120
Carrots,1022,1.75,130
Soup,1023,3.25,117
Yogurt,1024,2.5,135
Grapes,1025,1.49,160
Shrimp,1026,3.99,115
Pies,1027,2.25,100
Applesauce,1028,0.75,150
Lasagna,1029,4.25,130
Steak,1031,5.5,120
Avocado,1032,2.25,140
PastaSalad,1033,3.75,125
Pineapple,1034,1.5,155
Burritos,1035,4.99,115
Bagels,1036,2.99,130
Popcorn,1037,1.25,140
Cucumber,1038,3.25,135
Oatmeal,1039,2.5,125
Blueberries,1040,1.75,160
Sushi,1041,3.49,120
Chocolate,1042,2.99,130
Croissants,1043,2.25,150
Tacos,1044,4.5,110
Strawberries,1045,2.75,145
Muffins,1046,1.99,155
Ribs,1047,55.0,125
Cabbage,1048,0.99,170
Honey,1049,3.75,115
Salsa,1050,2.49,140
